id,name,gender,age,traits,status,interest,feature
39,Fiona Blanks,male,62,"energetic,creative,patient,compassionate,ambitious",retired," Golf clubs ,Outdoor furniture",Explorer;Poster
40,Daniel Diaz,female,22,"fun-loving,energetic,patient,practical",retired," gardening ,Fishing rods ",Watcher;Critic;Chatter
41,Elizabeth Cody,female,64,"compassionate,ambitious,optimistic",scientist," Bird watching ,Pottery ",Watcher;Explorer;Chatter
42,Jonah Campbell,male,69,"creative,patient,empathetic,independent",musician," Vinyl records ,Bicycles ",Poster
43,Fiona Parker,male,45,"compassionate,caring,ambitious,optimistic",teacher," Communication ,Outdoor ,Seat covers ,Kitchen Appliances ",Critic
44,Isla Boyd,female,60,"energetic,compassionate,practical,caring",musician," Pianos ,Nature guides ",Explorer
45,Willow Mitchell,male,64,"compassionate,caring,ambitious,optimistic",teacher," Kids ",Critic;Poster
46,Noah Ewing,female,34,"fun-loving,energetic,patient,practical",designer," Smartphones ,Cosmetics ",Watcher
47,Lily Burks,female,34,"compassionate,caring,ambitious,optimistic",doctor," Golf clubs ,Coffee grinders ",Chatter
48,Jasmine Coffey,male,49,"independent,confident,passionate,ambitious",teacher," Power tools ,Basketball hoops ",Watcher;Explorer;Chatter
49,Liam Davidson,female,43,"caring,ambitious,optimistic,independent",lawyer," Beach toys ,Yoga accessories ",Watcher;Poster
50,Felix Bell,male,50,"independent,energetic,loyal,ambitious",retired," Binoculars ,Pocket watches ",Explorer;Poster
51,Jade Dalton,female,29,"fun-loving,energetic,patient,practical",entrepreneur," Board games ,Skateboards ",Poster
52,Caleb Allen,female,61,"ambitious,compassionate,caring,optimistic",nurse," Hotel toiletries ,Musical instruments ",Explorer;Critic;Poster
53,Isabella Cooper,female,48,"independent,energetic,loyal,creative",retired," Knitting needles ,Snow globes ",Explorer;Critic;Poster
54,Charlotte Turner,male,46,"fun-loving,energetic,patient,practical",musician," Vinyl records ,Bicycles ",Watcher;Chatter;Poster
55,Thomas Johnson,female,49,"compassionate,ambitious,optimistic",entrepreneur," Eye masks ,Electric razors ",Chatter;Poster
56,Mia Watson,female,59,"fun-loving,energetic,patient,practical",entrepreneur," Crossword puzzles ,Scrapbooking ",Chatter
57,Peter Ewing,male,53,"ambitious,confident,independent,passionate",engineer," Keyboards ,Non-fiction ",Poster
58,Eleanor Watson,female,50,"caring,ambitious,optimistic,independent",nurse," Exercise equipment ,Video games ",Critic;Chatter;Poster
59,Zachary Durham,male,35,"compassionate,ambitious,optimistic",entrepreneur," Camping gear ,Virtual reality headsets ",Watcher;Explorer;Chatter
60,Caleb Cody,male,60,"compassionate,fun-loving,adventurous,practical,patient",lawyer," Photography ,Woodworking ",Watcher;Explorer;Critic
61,Ella Lewis,male,53,"fun-loving,caring,practical,adventurous,ambitious",student," Musical instruments ,Video games ",Watcher;Explorer;Poster
62,Amelia Burks,male,58,"fun-loving,adventurous,compassionate,practical,energetic",lawyer," Antiques ,Video games ",Watcher;Explorer;Critic
63,Luke Evans,male,25,"practical,ambitious,independent,optimistic",scientist," Electronics ,Sports gear ",Watcher;Poster
64,Jade Campbell,male,58,"practical,creative,compassionate,caring",engineer," Fishing equipment ",Watcher;Critic
65,Eleanor Blanks,female,36,"caring,ambitious,independent,optimistic,energetic",student," Gardening tools ,Board games ",Chatter;Poster
66,Kaitlyn Blevins,male,45,"adventurous,compassionate,fun-loving,energetic,creative",musician," Musical instruments ,Camping gear ",Watcher;Critic;Poster
67,Brooklyn Ferguson,female,59,"compassionate,caring,adventurous,practical,independent",teacher," Books ,Cooking supplies ",Watcher;Explorer;Poster
68,Evan Turner,female,44,"creative,compassionate,ambitious,independent,energetic",photographer," Yoga supplies ,Fitness gear ",Critic;Chatter;Poster
69,Patrick Blevins,male,31,"independent,ambitious",student," Skincare products ",Poster
70,Emma Collins,male,38,"creative,caring,compassionate",farmer," Pet supplies ",Critic;Poster
71,Kaitlyn Eaton,male,56,"compassionate,caring,adventurous,energetic",nurse," Golf clubs ",Explorer;Chatter;Poster
72,Zoe Eaton,male,62,"adventurous,caring,compassionate",farmer," Fishing equipment ",Explorer;Poster
73,Brooklyn Gray,female,38,"compassionate,caring,ambitious",doctor," Beauty products ",Watcher;Chatter
74,Owen Donahue,female,43,"compassionate,caring,adventurous,ambitious",farmer," Kitchen appliances ",Watcher
75,Isla Bernard,female,31,"adventurous,compassionate,ambitious,energetic",nurse," Camping gear ",Chatter
76,Robert Morgan,female,45,"ambitious,independent,energetic",doctor," Hiking gear ",Chatter;Poster
77,Henry Baldwin,male,43,"practical,adventurous,fun-loving,energetic,ambitious",lawyer," Fitness gear ",Watcher;Explorer
78,Hunter Underwood,female,49,"adventurous,fun-loving,compassionate,caring",writer," Art supplies ",Explorer;Critic
79,Madison Clay,male,65,"compassionate,adventurous,caring,practical",musician," Musical instruments ,Sports equipment ",Watcher;Chatter
80,Felix Grant,male,61,"compassionate,empathetic,practical,fun-loving",farmer," Golf clubs ,Gardening ",Watcher;Explorer
81,Nora Farmer,male,43,"fun-loving,compassionate,optimistic,ambitious",scientist," Binoculars ,Video games ",Watcher;Critic;Poster
82,William English,female,38,"energetic,ambitious,practical,creative,patient",scientist," Hiking boots ,Telescope ",Watcher;Critic
83,Caleb Mitchell,female,62,"caring,ambitious,compassionate",nurse," Sewing machine ,Fishing rod ,Knitting supplies ",Watcher;Explorer;Poster
84,Kaitlyn Collins,male,55,"energetic,ambitious,compassionate,fun-loving",entrepreneur," Herb garden ,Baking supplies ",Explorer;Chatter
85,Isabella Dean,male,22,"practical,energetic,independent,creative,patient",lawyer," Headphones ,Non-fiction books ",Watcher
86,Willow English,male,48,"practical,independent,patient,empathetic,caring",teacher," Yoga mat ,Calligraphy supplies ",Watcher;Poster
87,Simon Cooper,female,43,"fun-loving,compassionate,caring,ambitious,optimistic",retired," Board games ,Kids ",Chatter;Poster
88,Hudson Bauer,male,41,"fun-loving,independent,creative,patient,empathetic",retired," Collectibles ,Cooking ",Watcher
89,Andrew Collins,male,51,"energetic,patient,compassionate,caring",artist," Film photography ,Pottery ",Chatter
90,George Charles,male,26,"ambitious,independent,fun-loving,compassionate",lawyer," Running shoes ,Motivational books ",Watcher;Poster
91,Chloe Charles,male,34,"compassionate,ambitious,caring,creative",nurse," Fitness equipment ,Landscaping tools ",Watcher;Critic
92,Rachel Forbes,female,22,"energetic,practical,independent,ambitious,fun-loving",photographer," Photo printer ,Drone ",Watcher
93,Oliver Anderson,female,63,"caring,creative,ambitious,compassionate",teacher," Musical instruments ,Knitting supplies ",Poster
94,Charlotte Berg,female,43,"energetic,fun-loving,optimistic,caring,ambitious",photographer," Camping gear ,Adventure travel books ",Watcher;Explorer;Critic
95,Natalie Fraser,male,52,"ambitious,compassionate,caring,practical,energetic",engineer," Gadgets ,Robotics ",Chatter
96,Emma Duncan,male,54,"compassionate,ambitious,creative,caring,patient",retired," Home brewing ,Baking supplies ",Explorer;Critic
97,Jasmine Carroll,male,24,"independent,creative,ambitious,compassionate",artist," Oil painting ,DIY crafts ",Watcher;Explorer
98,Xavier Boyd,female,58,"compassionate,caring,ambitious,energetic,fun-loving",writer," Calligraphy ,Bookbinding ",Watcher;Chatter;Poster
99,Jasmine Dunn,female,62,"caring,compassionate,ambitious",student," Writing utensils ,Scrapbooking supplies ",Watcher;Chatter
100,Hazel Berg,female,50,"caring,practical,patient,empathetic",student," Board games ,Gardening ",Watcher;Critic
101,Olivia Brooks,male,48,"fun-loving,adventurous,practical,energetic,patient",lawyer," Coffee grinders ",Chatter
102,Jack Underwood,male,34,"creative,ambitious,optimistic",farmer," Art supplies ,Camping stoves ,Kitchen Appliances ,Camping",Watcher;Explorer;Chatter;Poster
103,Nora Morgan,male,51,"compassionate,caring,ambitious,optimistic",scientist," Grills ,Bathroom faucets",Watcher;Critic
104,Fiona Grant,male,57,"independent,creative,patient,empathetic",designer," Kids ",Watcher
105,Addison Darling,female,67,"fun-loving,adventurous,patient,empathetic",student," Board games ,Kitchen Appliances ",Explorer;Critic
106,Mason Roberts,female,51,"independent,creative,ambitious,energetic,patient",writer," Kitchen Appliances ,Hobbies",Watcher;Explorer;Critic
107,Taylor Cox,female,50,"caring,compassionate,ambitious,patient,empathetic",doctor," Barrels ,Removing stains",Watcher
108,Henry Bennett,male,46,"compassionate,caring,ambitious,optimistic",nurse," Communication ,Outdoor ,Seat covers ,Kids",Critic;Chatter
109,Lauren Durham,male,58,"independent,adventurous,ambitious,optimistic",writer," Gardening",Watcher;Poster
110,Finn Underwood,female,58,"caring,compassionate,ambitious,patient,empathetic",retired," Kids ",Watcher
111,Kyle Walker,female,42,"fun-loving,creative,ambitious,optimistic",designer," Kids ,Automotive",Watcher;Poster
112,Finnegan Burks,male,51,"fun-loving,adventurous,practical,energetic,patient",doctor," Kitchen Appliances ,Removing stains,Dog houses",Watcher;Poster
113,Isla Brock,female,62,"creative,practical,energetic,patient,empathetic",artist," Tennis rackets ",Watcher;Poster
114,William Brooks,male,34,"caring,compassionate,ambitious,patient,empathetic",teacher," Tennis rackets ,Kids ,Communication",Critic
115,Isaac Armstrong,female,55,"fun-loving,adventurous,practical,energetic,patient",scientist," Arts and crafts ,Kids ",Critic
116,Madison Dawson,male,40,"caring,compassionate,ambitious,patient,empathetic",student," Kids ,Sports",Watcher
117,Jonah Barber,female,27,"caring,compassionate,ambitious,optimistic",retired," Tools ,Outdoor,listening information",Explorer
118,Harper Barker,female,54,"fun-loving,practical,energetic,patient,empathetic",actor," Kitchen Appliances ,Performing arts ",Watcher;Poster
119,Madison Brady,female,40,"creative,practical,patient,empathetic",designer," Fashion Toys ,Kids ",Poster
120,Xavier Buck,female,59,"compassionate,caring,ambitious,optimistic",photographer," Yoga ,Digital cameras ",Explorer
121,Mason Farmer,male,41,"independent,compassionate,ambitious,patient",lawyer," Tailoring ,Drawing ",Poster
122,Liam Darling,female,42,"ambitious,creative,practical,energetic,patient",farmer," Flower pressing ,Birdwatching ,Antiques ",Critic;Chatter
123,Elizabeth Farmer,female,25,"fun-loving,creative,practical,energetic,patient",writer," Hiking ,Movie making ",Watcher;Explorer;Critic
124,Theodore Alexander,female,41,"caring,creative,empathetic,practical,energetic",retired," Crocheting ,Genealogy ,Trivia ",Critic;Poster
125,Delilah Bass,female,51,"compassionate,caring,ambitious,patient",farmer," Quilting ,Adult coloring books ",Poster
126,Mason Gonzalez,male,46,"independent,ambitious,adventurous",artist," Gardening ,Baking ",Explorer
127,Sarah Brown,male,63,"compassionate,ambitious,adventurous,empathetic,practical",designer," Jewelry making ,Leathercraft ",Critic
128,Jack Adams,male,44,"fun-loving,independent,compassionate,creative",lawyer," Betting on horses ,Metalworking ,Cosplaying ",Critic
129,Ian Brady,male,54,"good at recommendations, popular, enthusiastic, humorous, and good at live streaming",network anchor,"news, culture, current events, and lifestyle",Watcher;Chatter;Poster
130,Oliver Collins,male,65,"compassionate,caring,ambitious,patient",nurse," Magic Tricks ,Archery ",Watcher;Poster
131,Mason Fraser,male,41,"compassionate,caring,ambitious,patient",lawyer," Home Theater ,Candles ",Watcher;Critic
132,George Powell,male,43,"ambitious,adventurous,compassionate,caring",artist," Ceramics ,Puzzle books ",Watcher;Critic
133,Caleb Davidson,male,45,"compassionate,caring,ambitious,patient",scientist," Leathercraft ,Board/tabletop games ",Watcher
134,Ella Conner,male,68,"independent,compassionate,caring,ambitious",engineer," Creative writing ,Magic ",Watcher
135,Eleanor Eaton,male,44,"compassionate,caring,ambitious,practical,energetic",nurse," Kayaking ,Voice acting ",Critic
136,Gavin Darling,male,57,"fun-loving,compassionate,caring,practical",student," Hula hooping ,Stand-up comedy ",Watcher;Poster
137,Elizabeth Cochran,female,43,"compassionate,caring,ambitious,energetic",writer," Stamping ,Scrapbooking ",Watcher;Explorer
138,Emma Carlson,male,25,"ambitious,adventurous,caring",scientist," Coloring ,Book restoration ",Watcher;Critic;Chatter;Poster
139,Wesley Davidson,female,26,"fun-loving,independent,practical,energetic,patient",writer," Parkour ,Painting ",Watcher;Explorer;Chatter;Poster
140,Addison Darling,female,21,"compassionate,caring,energetic,cheerful,patient",nurse," Pottery ,Horseback riding ",Poster
141,Isaac Gibson,male,48,"compassionate,energetic,fun-loving,patient,ambitious",musician," RC cars ,Candle making ,Paint by Numbers ",Watcher;Explorer;Chatter
142,Kevin Ferguson,female,56,"ambitious,compassionate,caring,practical,fun-loving",photographer," Crochet ,Yeast bread ",Explorer;Poster
143,Raymond Fitzpatrick,male,54,"independent,fun-loving,compassionate,caring",artist," Cookbooks ,Board games ,Paintball ",Explorer;Critic;Chatter
144,Caleb Gray,male,39,"creative,energetic,fun-loving,independent,patient",nurse," Kite flying ,Antiquing ",Watcher;Explorer
145,Michael Byrd,female,24,"independent,creative,energetic,fun-loving,cheerful",engineer," Surfing ,Macrame ",Watcher;Poster
146,Nora Adams,male,37,"compassionate,caring,patient,ambitious",artist," 3D printing ,Collecting artwork ",Watcher;Chatter
147,Nora Bauer,female,68,"fun-loving,empathetic,cheerful,caring",musician," Photography ,Astronomy ,Fencing ",Watcher
148,Kevin Ferguson,male,67,"independent,ambitious",lawyer," Canoeing ",Watcher;Critic
149,Lucas Deleon,female,41,"compassionate,caring,patient,practical,energetic",doctor," Wood carving ,LEGO building ",Critic;Poster
150,Raymond Watson,male,39,"creative,fun-loving,practical,ambitious",actor," Skydiving ",Critic
151,Liam Cooper,female,33,"fun-loving,caring,patient,ambitious,independent",student," Playing musical instruments ,Calligraphy ",Poster
152,Vincent Brooks,male,35,"patient,practical,cheerful,ambitious",designer," Cross-stitch ",Chatter
153,Theodore Bernard,female,48,"fun-loving,independent,practical,ambitious,energetic",teacher," Paint-by-Number Kits ",Watcher;Explorer;Poster
154,Patrick Kennedy,male,56,"ambitious,caring,compassionate,independent,optimistic",lawyer," Metalworking ,Metal detection ",Explorer
155,Hudson Gonzalez,female,54,"independent,restless,compassionate,energetic,fun-loving",engineer," Pottery ",Explorer
156,Julia Cook,male,53,"compassionate,energetic,cheerful,practical,caring",teacher," Songwriting ,Ballroom Dancing ,Macrame ",Watcher
157,Georgia Grant,female,45,"caring,compassionate,empathetic,restless,patient",nurse," Geocaching ,Locksport ",Watcher;Critic;Chatter;Poster
158,Bennett Berry,female,65,"independent,imaginative,creative,ambitious,fun-loving",farmer," Metal detecting ",Watcher
159,Alexander Deleon,male,53,"fun-loving,restless,ambitious",doctor," Magic ",Chatter
160,Ruby Farmer,female,30,"patient,practical,energetic,empathetic",doctor," Mountain biking ,Musical instrument-making ",Critic
161,Isaac Edwards,male,43,"fun-loving,independent,compassionate,ambitious,creative",engineer," Model Rockets ,Comic book collecting ",Watcher;Critic
162,Katherine Fisher,female,61,"caring,creative,compassionate,practical",student," Swimming ,Sketching ",Explorer;Chatter;Poster
163,Lily Armstrong,male,30,"compassionate,caring,ambitious,optimistic",doctor," App development ,Aquariums ,Dart flights ",Watcher
164,Gabriel Fisher,female,51,"caring,creative,patient",actor," Board/tabletop games ,Racing Pigeon ",Chatter
165,Faith Dixon,male,31,"fun-loving,creative,practical,energetic,patient",photographer," Airbrushing ,Crocheting ",Chatter;Poster
166,Blake Blanks,male,70,"independent,creative,patient,empathetic",nurse," Record collecting ,Painting ",Critic;Poster
167,Robert Anderson,female,45,"compassionate,caring,ambitious,independent,creative",designer," Air sports ,Amateur astronomy ",Watcher;Poster
168,Lauren Cooper,female,36,"fun-loving,caring,ambitious,optimistic",teacher," Building Dollhouses ,Illustration ",Watcher;Poster
169,Grayson Carroll,male,43,"compassionate,caring,ambitious,independent",photographer," Beekeeping ,Color guard ,Cigar smoking ",Watcher;Explorer
170,Finn Clark,male,46,"fun-loving,creative,practical,energetic",photographer," Doll collecting ,Meteorology ",Watcher;Explorer
171,George Allen,male,43,"fun-loving,independent,creative,practical,compassionate",engineer," Amateur radio ,Singing ",Watcher
172,Georgia Campbell,male,39,"creative,practical",student," Gardening ,Dance ",Chatter;Poster
173,Andrew Cook,female,53,"independent,compassionate,caring,creative",doctor," Coloring ,Racing radio-controlled cars ",Explorer;Critic
174,Hunter Carey,female,44,"compassionate,caring,ambitious,independent,creative",teacher," Card game ,Performing arts ",Watcher
175,Sophia Allen,female,44,"fun-loving,caring,ambitious,optimistic,patient",designer," Floral Arranging ,Magic ",Watcher;Critic
176,Gavin Bowen,female,35,"compassionate,ambitious,independent,creative",lawyer," Beach Volleyball ,Birdwatching ",Watcher
177,Vincent Berg,male,55,"fun-loving,creative,practical,energetic,patient",engineer," Board game ,Color guard ",Watcher;Explorer;Poster
178,Addison Garcia,male,39,"creative,practical,energetic,patient,empathetic",artist," Architecture ,Astronomy ",Watcher;Explorer;Poster
179,Mason Farmer,female,54,"compassionate,caring,ambitious,independent",farmer," Die-cast toy ",Chatter
180,Amelia Fowler,male,54,"ambitious,compassionate,energetic,fun-loving",doctor," Gardening ,Sleep masks ",Watcher
181,Thomas Brown,male,51,"adaptable,patient,ambitious",student," Exercise bikes ,Dutch ovens ",Watcher;Poster
182,Raymond Ewing,male,47,"compassionate,caring,ambitious,optimistic",teacher," Gardening ",Watcher;Critic;Poster
183,Lucy Kennedy,female,43,"creative,patient,empathetic,optimistic",farmer," Binoculars ",Watcher
184,Gavin Gonzalez,female,41,"outgoing,energetic,ambitious,empathetic,practical",student," Board games ,Deep fryers ",Watcher;Explorer;Critic;Chatter;Poster
185,Noah Armstrong,female,24,"fun-loving,creative,practical,energetic",farmer," Compost bins ,Outdoor furniture ",Critic;Chatter
186,Jade Davidson,female,49,"independent,compassionate,energetic,patient,adventurous",entrepreneur," Knitting ,Home security systems ,Beer brewing ",Watcher;Critic;Chatter;Poster
187,Andrew Cox,female,36,"adaptable,patient,ambitious,optimistic",student," Power drills ,Cooking thermometers ",Explorer;Critic
188,Nora Adams,male,33,"compassionate,caring,ambitious,optimistic",actor," Ice cream makers ,Video game consoles ",Watcher;Explorer
189,Daniel Ferguson,female,61,"compassionate,caring,ambitious,optimistic",musician," Headphones ,Gardening gloves ",Watcher;Chatter
190,Ruby Carey,female,62,"independent,creative,patient,empathetic,adventurous",photographer," Picture frames ,Sewing machines ",Critic;Chatter
191,Noah Bell,female,53,"compassionate,caring,ambitious,optimistic",doctor," Hiking shoes ,Aromatherapy diffusers ",Watcher;Poster
192,Emily Carroll,male,21,"fun-loving,creative,optimistic",writer," Bluetooth speakers ",Watcher;Critic;Poster
193,Victoria Donaldson,female,40,"independent,adventurous,caring,empathetic,patient",doctor," Essential oil diffusers ,Beach umbrellas ",Watcher;Explorer;Poster
194,Robert Walker,female,33,"compassionate,ambitious,optimistic",photographer," Yoga mats ,Coffee makers ",Watcher;Critic;Poster
195,Georgia Barber,male,39,"adaptable,patient,adventurous,practical",retired," Massage guns ,Carry-on luggage ",Watcher;Explorer;Critic;Poster
196,Aaron Berry,male,29,"independent,energetic,patient,ambitious,optimistic",photographer," Computer monitors ",Watcher;Explorer;Poster
197,Matthew Watson,female,42,"fun-loving,creative,adventurous,practical",teacher," Resistance bands ,Blender bottles ",Watcher;Critic;Poster
198,Vincent Clay,female,57,"adaptable,patient,adventurous,practical",artist," Vinyl records ,BBQ tools ",Watcher;Explorer;Critic;Chatter;Poster
199,Daisy Carroll,female,53,"creative,patient,empathetic,adventurous,ambitious",teacher," Yoga blocks ,Massagers ",Watcher;Explorer
200,Kevin Bernard,male,42,"fun-loving,patient,ambitious,practical",actor," Painting ,Camping stoves ",Watcher
201,Kevin Ewing,female,44,"independent,ambitious,practical,empathetic",engineer," Photography ,Hiking boots ",Watcher;Poster
202,Mason Cox,male,36,"compassionate,fun-loving,patient,ambitious,optimistic",designer," Cell phone accessories ,Tennis rackets ",Watcher;Explorer;Critic
203,Gabriel Parker,female,47,"fun-loving,independent,practical,energetic",photographer," Virtual reality headset ,Outdoor recreation ",Critic;Poster
204,Isaac Cox,female,67,"compassionate,caring,patient",doctor," Watches ,Sunglasses ",Watcher;Critic
205,Piper Cooper,male,52,"practical",teacher," Stationery ,Headphones ",Chatter
206,Isaac Evans,female,43,"fun-loving,caring,ambitious,practical",photographer," Grilling accessories ,Hiking boots ",Chatter
207,Finnegan Coleman,female,42,"independent,compassionate,caring",scientist," Gardening gloves ,Camping stoves ",Critic
208,Sarah Carlson,female,62,"compassionate,caring",student," Home improvement supplies ,Home decoration ",Critic;Poster
209,Vincent Burks,female,32,"fun-loving,practical,energetic,patient",retired," Portable speakers ,Backpacks ",Explorer;Critic
210,Raymond Brady,male,53,"independent,fun-loving,patient,ambitious",retired," Home workout equipment ,Binoculars ",Watcher;Chatter
211,Isla Carroll,male,35,"compassionate,caring",doctor," Fitness equipment ,Cycling ",Watcher;Critic;Chatter
212,Hudson Clay,male,48,"independent,compassionate,ambitious",entrepreneur," Books ,Healthy snacks ",Explorer;Critic;Chatter;Poster
213,Wesley Powell,female,44,"fun-loving,independent,ambitious,energetic",scientist," Sustainable products ,Hiking boots ",Chatter
214,Luke Boyd,male,51,"independent,compassionate,fun-loving,practical",photographer," Fitness tracker ,Board games ",Watcher;Critic;Poster
215,Aaron Baldwin,male,39,"independent,patient,ambitious",scientist," Smart home devices ,Hiking boots ",Watcher;Chatter
216,Finn Kennedy,male,55,"independent,compassionate,patient,ambitious,optimistic",lawyer," Healthy snacks ,Fitness equipment ",Watcher;Explorer
217,Robert Durham,female,40,"compassionate,caring",farmer," Gardening tools ,Outdoor recreation ",Poster
218,Delilah Collins,male,57,"fun-loving,practical,energetic",farmer," Home improvement supplies ,Portable speakers ",Explorer
219,Blake Underwood,female,64,"compassionate,caring,ambitious,practical,patient",designer," Home decor ,Golf clubs ",Watcher;Critic;Chatter
220,Delilah Turner,male,38,"independent,creative,caring,ambitious",scientist," photography ,Traveling ,Reading",Watcher;Chatter
221,Olivia Evans,male,35,"fun-loving,creative,practical,energetic,patient",actor," Sports ,Music ,Traveling",Watcher
222,Chloe Donaldson,male,52,"compassionate,caring,ambitious,optimistic",lawyer," Fitness ,Traveling ,Cooking ,Hiking",Explorer;Poster
223,David Buck,female,60,"fun-loving,creative,practical,energetic,patient",writer," Traveling ,Food ,Sports",Watcher;Explorer
224,Gavin Clarke,male,51,"independent,compassionate",lawyer," Fishing ,Golfing ",Poster
225,Daniel Fitzpatrick,male,49,"compassionate,caring,ambitious,optimistic",engineer," Cars ,Gardening ,Reading",Explorer;Poster
226,Andrew Chase,male,23,"independent,creative,patient,empathetic",musician," Painting ,Video games ",Explorer;Chatter
227,Ruby Albert,male,39,"independent,creative,compassionate",teacher," Yoga ,Volunteering ,Hiking ",Watcher;Chatter
228,Thomas Foster,male,58,"compassionate,caring,ambitious,optimistic",farmer," Cooking ,Fishing ,Gardening",Watcher
229,Lucas Blanks,male,48,"compassionate,caring,practical,energetic,patient",writer," Music ,Playing an instrument ",Watcher;Explorer
230,Alexander Friedman,male,37,"fun-loving,creative,practical,energetic,patient",musician," Dancing ,Movies ,Cooking ",Explorer
231,Alexander Brooks,male,50,"independent,creative,caring,ambitious",scientist," Astronomy ,Skiing ,Metal detecting ",Watcher;Chatter
