id,name,gender,age,traits,status,interest,feature
24,Jade Bernard,female,35,"compassionate,ambitious",entrepreneur," Landscape Photography ,Blogging",Chatter;Poster
25,Mason Lawson,female,46,"independent,enthusiastic,caring,ambitious",lawyer," Hiking Accessories ,Video Games ",Explorer
26,Robert Bass,male,27,"fun-loving,practical,ambitious,optimistic",lawyer," Cooking ,Woodworking ",Watcher;Critic
27,Raymond Boyd,male,42,"caring,independent",engineer," Gardening ,Virtual Reality ",Watcher;Poster
28,Ava Cook,male,41,"fun-loving,independent,patient,energetic",student," Yoga ,Meditation ",Explorer;Chatter
29,Piper Edwards,male,31,"fun-loving,energetic,patient,practical",student," Rock Climbing ,Community Service ",Explorer
30,Xavier Charles,female,43,"caring,enthusiastic,optimistic,compassionate",scientist," Mountain Biking ,Bird Watching ",Watcher;Explorer
31,Amelia Garcia,female,46,"caring,compassionate",artist," Pottery ,Singing",Watcher;Chatter
32,Daniel Berry,female,32,"practical,ambitious,optimistic,patient",actor," Yoga ,Rock Collecting ",Watcher;Poster
33,Lily Berry,male,46,"caring,compassionate,independent,ambitious",artist," Pottery ,Singing ,Video Gaming ",Watcher;Explorer
34,Wesley Cochran,male,70,"independent,energetic,ambitious,compassionate",writer," Crosstitch ,Stamp Collecting ",Critic
35,Abigail Burns,male,54,"independent,caring,ambitious,compassionate",lawyer," Knitting ,Woodworking",Poster
36,Isaac Grant,female,62,"enthusiastic,compassionate,caring",lawyer," Metalworking ,Baking ",Watcher;Poster
37,Zoe Collins,female,30,"fun-loving,energetic,patient,compassionate",farmer," Gardening ,Animal Rescue",Chatter
38,Timothy Blevins,female,46,"independent,ambitious,optimistic,compassionate",farmer," Pottery ,Fishing",Watcher;Critic
39,Isla Foster,male,43,"compassionate,caring,patient,optimistic",actor," Writing Poetry ,Meditation ",Poster
40,Willow Fisher,male,22,"ambitious,curious,creative,empathetic",entrepreneur," Astrophotography ,Candle Making ",Watcher;Explorer;Critic;Poster
41,Kevin Donaldson,male,53,"fun-loving,energetic",actor," Cooking ,Gymnastics ",Watcher;Critic
42,Alexander Conner,female,55,"compassionate,caring,patient,optimistic",teacher," Papermaking ,Pottery ,Quilling ",Watcher;Poster
43,Benjamin Friedman,female,49,"compassionate,caring,ambitious,patient,empathetic",nurse," Coloring ,Dancing ",Chatter
44,Piper Carey,male,26,"independent,fun-loving,energetic",musician," Fashion Design ,Graffiti ",Explorer
45,Aaron Brooks,male,34,"ambitious,fun-loving,energetic,patient,empathetic",designer," Jewelry-making  ,Knitting ",Watcher;Poster
46,Jacob Lawson,male,50,"ambitious,curious",farmer," Fishing  ,Lasers ",Watcher;Explorer;Critic
47,Madison Smith,female,54,"compassionate,ambitious,patient,empathetic,optimistic",doctor," Soap Carving ,Woodworking ",Explorer;Critic
48,Lucy Walker,female,48,"fun-loving,creative",actor," Candle Making ,Embroidery ",Watcher;Poster
49,Liam Fraser,female,50,"compassionate,ambitious,creative,patient,empathetic",musician," Home Brewing ,Jewelry-making ",Watcher;Poster
50,Ella Grant,male,22,"compassionate,caring,practical,energetic,optimistic",retired," Woodworking ",Watcher
51,Ella Brooks,female,21,"ambitious,curious,creative,practical,energetic",farmer," Glassblowing ,Playing musical instruments ",Explorer
52,Thomas Walker,male,55,"caring,ambitious",actor," Origami ,Sculpting ",Critic;Poster
53,Hannah Allen,female,44,"ambitious,energetic,optimistic",lawyer," Photography ,Singing ",Chatter
54,Mason Allen,female,44,"curious,creative,practical",scientist," Scrapbooking ,Storytelling ",Explorer;Critic;Poster
55,Luke Charles,male,39,"compassionate,caring,energetic,empathetic,patient",farmer," Calligraphy ,Candle Making ",Watcher
56,Sophia Conner,male,45,"ambitious,practical,energetic",engineer," Candle Making ,Metalworking ",Watcher;Critic
57,Vincent Powell,male,37,"caring,ambitious,optimistic",engineer," Hydroponics ,Juggling ",Watcher;Critic;Poster
58,Emily Baldwin,female,61,"fun-loving,creative,energetic,empathetic,patient",student," Candle Making ,Pottery ",Watcher;Critic
59,Mia Bass,female,54,"compassionate,ambitious,creative,patient,empathetic",student," Leather Crafting ,Quilting ",Watcher
60,Theodore Farmer,female,40,"energetic,practical,patient,reliable",scientist," Wall decor ,Recreation ,Basketball hoops",Watcher;Explorer;Poster
61,Isabella Olson,female,33,"compassionate,caring,ambitious,optimistic",photographer," Communication ,Outdoor ,Seat covers ,Kitchen Appliances",Watcher;Critic
62,Avery Olson,female,51,"fun-loving,patient,empathetic,responsible",nurse," Gym equipment",Watcher;Poster
63,Isabella Lewis,female,43,"fun-loving,creative,practical,energetic,patient",farmer," kids",Watcher;Poster
64,Hannah Anderson,female,44,"compassionate,caring,ambitious,optimistic",doctor," Office furniture ,Coffee makers",Critic;Poster
65,Bennett Ferguson,male,41,"energetic,practical,patient,reliable,ambitious,optimistic",photographer," Power Tools ,Golf clubs ,Fishing",Watcher;Poster
66,Evan Coleman,male,53,"independent,creative,patient,empathetic",writer," electronics",Watcher
67,Mia Blanks,female,35,"fun-loving,creative,practical,energetic,patient",scientist," Sports Gear ,Surveillance ,Indoor plants",Watcher;Explorer;Poster
68,Christopher Durham,male,24,"compassionate,caring,ambitious,optimistic",doctor," mowers",Watcher;Chatter;Poster
69,Abigail Adams,male,33,"energetic,practical,patient,reliable,ambitious,optimistic",actor," Outdoor play ,Arts and crafts ,Acoustic guitars",Watcher;Critic
70,Christopher Parker,male,41,"fun-loving,caring,ambitious,optimistic",nurse," Puzzle Books",Explorer;Critic
71,Lucy Mitchell,male,44,"energetic,practical,patient,reliable,ambitious,optimistic",photographer," Motion Sensors ,Kitchen gadgets",Watcher;Explorer;Chatter
72,Avery Smith,female,43,"independent,compassionate,caring,ambitious,optimistic",engineer," Tools",Watcher;Explorer;Poster
73,Blake Cook,female,65,"compassionate,caring,reliable",teacher," Desk accessories ,Office electronics",Watcher;Explorer
74,Avery Burns,female,57,"independent,creative,responsible",nurse," Arts and crafts",Watcher;Critic;Chatter
75,Zoe Bauer,female,49,"energetic,practical,patient,reliable,ambitious,optimistic",doctor," Kitchen Appliances ,Curtains",Watcher;Poster
76,David Gibson,male,50,"independent,creative,practical,empathetic",entrepreneur," Sports memorabilia",Watcher
77,Faith Farmer,male,60,"fun-loving,patient",nurse," Outdoor Lighting",Watcher;Poster
78,Hannah Cochran,male,50,"caring,ambitious,optimistic",teacher," Games",Explorer;Critic;Poster
79,Michael Turner,male,36,"energetic,patient,empathetic,responsible,ambitious,optimistic",farmer," Outdoor Power Equipment",Poster
80,Patrick Albert,male,58,"caring,independent,empathetic,practical",doctor," Science Fiction ,Sculpting ",Watcher;Critic;Poster
81,Hunter Clark,female,44,"fun-loving,practical,energetic,intellectual",photographer," Scifi ,Guitar Playing ",Explorer;Critic
82,Harper Ferguson,female,42,"fun-loving,caring,ambitious,patient",doctor," Novels ,Cooking ",Critic;Chatter;Poster
83,Taylor Blanks,male,23,"independent,creative,patient,empathetic",lawyer," Guitar ",Watcher;Critic;Poster
84,Delilah Fitzpatrick,female,57,"compassionate,caring,ambitious,optimistic",musician," Music ",Watcher;Critic
85,William Roberts,female,29,"compassionate,caring,ambitious,Intellectual",musician," Gardening ",Watcher;Poster
86,Jacob Adams,female,66,"independent,compassionate,Creative,Practical,Intellectual,Analytical",designer," Collecting ",Chatter;Poster
87,Brooklyn Brock,female,46,"caring,ambitious,optimistic,observant",entrepreneur," Photography ",Critic;Chatter
88,Taylor Harris,female,49,"practical,energetic,patient,empathetic",actor," Drawing ",Explorer;Poster
89,Harper Fisher,male,47,"fun-loving,creative,practical,energetic,patient,empathetic",actor," Painting ",Explorer;Poster
90,Vincent Coleman,female,62,"fun-loving,compassionate,creative",farmer," Cooking ",Explorer
91,Aaron Baldwin,female,49,"caring,ambitious,optimistic",teacher," Jewelry Making ",Watcher;Explorer
92,Grayson Carroll,male,29,"compassionate,caring,ambitious,practical",actor," Film Making ",Watcher;Explorer;Poster
93,Lauren Alexander,male,51,"fun-loving,creative,energetic,patient,empathetic,practical,analytical",scientist," Wine Making ",Watcher;Critic;Chatter;Poster
94,Jack Cox,female,23,"caring,ambitious,intellectual",doctor," Video Games ",Explorer;Poster
95,Felix Diaz,male,37,"compassionate,caring,creative",entrepreneur," Rock Climbing ",Watcher;Poster
96,Katherine Chase,female,44,"caring,ambitious,intellectual",lawyer," Pottery ",Watcher;Explorer
97,Kaitlyn Bass,male,53,"fun-loving,creative,practical,energetic,intellectual",teacher," Baking ",Watcher;Explorer;Chatter
98,Alexander Dawson,male,53,"compassionate,caring,ambitious,practical,patient,empathetic",designer," Writing ",Critic
99,Ruby Brooks,female,63,"independent,caring,creative,practical,energetic,patient,empathetic",photographer," Gardening ",Chatter
100,Henry Blanks,female,42,"fun-loving,creative,energetic,patient,ambitious",entrepreneur," Planting trees ,Wine tasting ",Explorer;Chatter
101,Alexander Flores,male,62,"caring,ambitious",writer," Soap making ",Explorer
102,Rachel Cooper,female,55,"compassionate,caring",retired," Embroidery ,Baking ,Camping gea ",Poster
103,Matthew Chase,female,22,"fun-loving,creative,practical,energetic",engineer," Drones ,Astrophotography ,Vehicles ",Watcher;Explorer
104,Kevin Burns,male,26,"creative,practical,patient,optimistic",doctor," Skateboarding ",Watcher;Critic;Chatter
105,Thomas Burns,female,70,"compassionate,caring",writer," Watching Movies ",Watcher;Explorer;Poster
106,Luke Conley,female,53,"fun-loving,energetic,patient,empathetic,ambitious",photographer," Painting ",Watcher;Explorer;Chatter
107,George Foster,male,39,"independent,compassionate",artist," Calligraphy ,Cooking ",Critic;Poster
108,Piper Campbell,female,49,"compassionate,caring,energetic,pragmatic",actor," Ceramics ",Critic;Chatter
109,Lucas Diaz,male,51,"patient,empathetic,ambitious",retired," Cooking ",Watcher;Critic;Poster
110,Tyler Olson,male,41,"compassionate,ambitious",writer," Brewing beer ",Poster
111,Emma Durham,female,31,"fun-loving,creative,patient,empathetic,optimistic",nurse," Pottery ,Musical instruments ,Beer tasting ",Watcher;Explorer;Critic;Chatter;Poster
112,Vincent Lawson,female,22,"independent,creative,energetic,pragmatic",designer," Gardening ,Knitting ,Interior decoration ",Poster
113,Lily Coleman,male,27,"fun-loving,creative,practical,energetic",designer," Video editing ",Watcher;Poster
114,Ruby Coffey,male,33,"fun-loving,creative,energetic,patient",writer," Making jewellery ",Explorer;Critic
115,Faith Clarke,male,43,"independent,compassionate,ambitious,optimistic",lawyer," Hiking ",Watcher
116,Willow Friedman,male,48,"compassionate,caring,ambitious,pragmatic",lawyer," Birdwatching ",Critic
117,Xavier Coffey,male,56,"creative,practical,energetic,patient,optimistic",lawyer," Motorcycle riding ",Watcher;Critic;Chatter
118,Addison Cochran,female,57,"fun-loving,creative,energetic,patient",student," Reading ,Traveling ",Poster
119,Mia Evans,female,47,"compassionate,caring,practical,energetic,patient",photographer," Yoga ",Critic;Chatter;Poster
120,Kyle Friedman,female,66,"fun-loving,active,patient,empathetic",doctor," Musical instruments ,Automotive Tools ",Watcher;Explorer;Critic;Poster
121,Jack Fowler,male,28,"creative,practical,energetic,ambitious",farmer," Garden tools ",Poster
122,George Armstrong,female,68,"compassionate,caring,adventurous,ambitious,optimistic",entrepreneur," Musical instruments ,Safety gear ",Watcher;Explorer
123,Theodore Cox,male,64,"independent,patient,empathetic,optimistic",writer," Home decor ",Chatter;Poster
124,Finnegan Foster,female,68,"compassionate,caring,patient,empathetic",retired," Musical instruments ,Sewing machines ,Outdoor cooking ",Watcher;Critic;Chatter
125,Hudson Turner,male,68,"independent,patient,empathetic",farmer," Home theaters ",Watcher
126,Hudson Cody,female,30,"adventurous,ambitious,practical,energetic",farmer," Makeup ,Running ",Critic;Chatter
127,Avery Cody,female,55,"adventurous,patient,empathetic",scientist," Outdoor cooking ,Home appliances ",Critic;Chatter;Poster
128,Andrew Flores,female,29,"active,creative,practical,energetic,ambitious",scientist," Electronic gadgets ",Watcher
129,Liam Walker,female,53,"fun-loving,adventurous,practical,energetic",actor," Sewing machines ,Fishing gear ",Watcher
130,Julia Durham,female,47,"active,practical,energetic,optimistic",actor," Wine ,Musical instruments ",Chatter
131,Abigail Bernard,female,31,"compassionate,caring,patient",designer," Gardening tools ,Sewing machines ",Critic;Chatter
132,Katherine Boyd,female,32,"compassionate,caring",actor," Sports gear ",Critic;Poster
133,Caleb Cochran,male,56,"independent,compassionate,adventurous,ambitious",teacher," Fitness equipment ,Bicycles ,Office furniture ",Watcher;Critic;Chatter
134,Natalie Bowen,female,47,"adventurous,ambitious",entrepreneur," Excercise equipment ,Watches ",Explorer;Poster
135,Natalie Brady,female,28,"independent,fun-loving,active,patient,empathetic",artist," Board games ,Cosmetics ",Watcher
136,David Smith,female,52,"active,compassionate,caring,adventurous,ambitious",actor," Knitting ,Coffee ",Watcher;Explorer
137,Xavier Watson,male,50,"fun-loving,adventurous,ambitious",artist," Camping equipment ,Musical instruments ",Watcher;Poster
138,Rachel Ferguson,male,55,"fun-loving,patient,empathetic,adventurous,optimistic",photographer," Outdoor cooking ,Plants ,Seat covers ,Tech gadgets ",Watcher;Explorer;Critic;Chatter;Poster
139,Kyle Dunn,male,40,"fun-loving,creative,adventurous,ambitious",student," BBQs ,Musical instruments ",Explorer;Critic
140,Kaitlyn Berry,male,38,"independent,creative,empathetic,outgoing",designer," Sketching ,Bicycles ",Watcher;Poster
141,Zachary Watson,female,29,"good at recommendations, popular, enthusiastic, humorous, and good at live streaming",network anchor,"movies and music",Critic;Poster
142,Hannah Smith,male,54,"compassionate,caring,ambitious,optimistic",teacher," Reading ,Gardening ,Cooking ",Critic;Chatter;Poster
143,Lily Blair,female,60,"caring,patient,empathetic,practical,ambitious",farmer," Quilting ,Gardening ,Home brewing ",Watcher;Chatter;Poster
144,Thomas Dalton,male,58,"independent,caring,patient,ambitious,empathetic",doctor," Wine tasting ,Robotics ,Poker ",Watcher
145,Lucas Bass,female,46,"compassionate,creative,patient,empathetic,ambitious",actor," Yoga ,Baking ,Traveling ",Watcher;Critic
146,Ella Blair,female,61,"compassionate,caring,ambitious,optimistic",designer," Baking ,Calligraphy ,Pottery ",Critic;Poster
147,Simon Garcia,female,53,"independent,compassionate,caring,ambitious,optimistic",photographer," Dancing ,Jewelry making ,Makeup ",Watcher;Critic
148,Andrew Barber,female,46,"compassionate,caring,ambitious,patient,empathetic",doctor," Gardening ,Board games ",Critic;Poster
149,Charlotte Brooks,female,50,"independent,compassionate,caring,practical,empathetic",farmer," Knitting ,Woodworking ,Fishing ",Watcher;Critic
150,Felix Edwards,male,66,"caring,patient,compassionate,empathetic",nurse," Origami ,Birdwatching ",Critic;Chatter
151,Noah Bell,male,53,"fun-loving,creative,energetic,patient,ambitious",designer," Photography ,Cooking ",Critic;Poster
152,Bennett Barker,female,20,"independent,creative,empathetic,outgoing",artist," Hiking ,Painting ,Crafting ",Watcher;Explorer;Critic;Chatter
153,Kaitlyn Anderson,female,54,"compassionate,caring,patient,ambitious,empathetic",lawyer," Pottery ,Yoga ,Wine tasting ",Explorer;Critic
154,Madison Walker,female,45,"fun-loving,creative,patient,empathetic,ambitious",designer," Photography ,Baking ,Knitting ",Watcher;Explorer;Critic
155,Gavin Deleon,male,53,"fun-loving,creative,patient,outgoing,ambitious",teacher," Gardening ,Pottery ",Watcher;Explorer
156,Bennett Chase,male,65,"fun-loving,outgoing",musician," Hiking ,Fishing ",Chatter;Poster
157,Jacob Blevins,male,33,"fun-loving,creative,patient,ambitious,optimistic",artist," Board games ,Birdwatching ",Poster
158,Robert Duncan,female,65,"compassionate,caring,ambitious,empathetic",musician," Baking ,Painting ,Knitting ",Poster
159,Oliver Grant,female,22,"compassionate,caring,patient,ambitious,optimistic",doctor," Meditation ,Traveling ,Skydiving ",Critic;Chatter;Poster
160,Jack Walker,female,57,"compassionate,caring,patient,practical,fun-loving",teacher," Travel ,Reading ,Musical instruments ",Explorer;Critic
161,Finnegan Carroll,male,68,"independent,creative,ambitious,patient,empathetic",teacher," Board games ,Stamps ",Watcher;Poster
162,Zoe Watson,male,40,"ambitious,energetic,practical",entrepreneur," Coins ,Contemporary art ",Chatter
163,Isla Dalton,male,66,"independent,compassionate,energetic,fun-loving",writer," Hiking ,Cooking ,DIY home improvement ,Camping gear",Watcher;Critic
164,Rachel Lee,male,27,"amiable,compassionate,patient,practical",student," Photography ,Gardening ,Meditation ,Hiking ,Baking ",Explorer;Chatter
165,Isla Donahue,male,38,"fun-loving,practical,patient,creative",student," DIY projects ,Sports equipment ,Sewing machines ",Explorer
166,Brooklyn Davidson,female,47,"compassionate,creative",doctor," Fishing gear ,Yoga mats ,Musical instruments ",Poster
167,Gabriel Fitzpatrick,female,51,"independent,creative,compassionate",writer," Vinyl records ",Critic;Chatter;Poster
168,Hazel Durham,female,35,"patient,compassionate,fun-loving,energetic,ambitious",actor," Gardening ,Cooking ,Sewing ,Hiking,Yoga",Watcher
169,Jade Cox,female,57,"fun-loving,energetic,patient,practical,ambitious",photographer,"Knitting needles,Indoor gardening,DIY projects",Watcher
170,Kyle Grant,male,64,"caring,patient,fun-loving",doctor,"Board games,Chess",Chatter
171,Madison Gonzalez,female,55,"compassionate,energetic,adventurous,patient",nurse,"Hiking,Camping,Travel,Wildlife photography",Explorer
172,Ruby Dalton,male,54,"independent,creative,compassionate,ambitious",designer,"Scrapbooking,Mixed media art,Calligraphy",Critic
173,Henry Fitzpatrick,female,48,"caring,ambitious,compassionate,patient,creative",photographer,"Woodworking,Pottery,Knitting",Watcher;Critic;Chatter
174,Zachary Underwood,male,51,"independent,adventurous,compassionate,ambitious,fun-loving",farmer,"Ceramics,Brewing,Fishing,Sculpting",Watcher;Explorer;Critic;Chatter;Poster
175,Mia Cox,female,49,"compassionate,adventurous,fun-loving,patient",actor,"Theater,Literature",Watcher;Explorer
176,Evan Coffey,female,21,"energetic,creative,ambitious,compassionate",actor,"Fashion,Jewelry making,Cosplay",Critic;Poster
177,Benjamin Blair,male,37,"adventurous,independent,empathetic,pragmatic",actor,"Cycling,Rock climbing,Canoeing",Watcher;Explorer
178,Jack Morgan,female,58,"compassionate,fun-loving,patient,adventurous,ambitious",engineer,"Coding,Mixed martial arts",Watcher
179,Finnegan Brock,female,40,"adventurous,independent,creative,empathetic",scientist,"Robotics,Astronomy,Model building",Chatter
180,Blake Powell,female,29,"fun-loving,independent,creative,practical,energetic",engineer," Electronic gaming ,Collecting sports memorabilia ",Watcher;Chatter
181,Sarah Clay,male,37,"fun-loving,practical,ambitious,optimistic",writer," Building dollhouses ,Scrapbooking ",Poster
182,Harper Armstrong,male,42,"fun-loving,practical,patient",entrepreneur," Flight simulators ,Paintball ",Poster
183,Grayson Ferguson,female,46,"fun-loving,practical,patient,empathetic",doctor," DIY crafts ,Knitting ",Watcher;Chatter
184,Katherine Allen,female,40,"fun-loving,creative,patient,curious",actor," Painting ,Sketching ",Watcher;Explorer;Critic
185,Vincent Kennedy,female,68,"caring,creative,patient",writer," Photography ,Cooking ",Watcher;Chatter
186,Harper Bernard,female,65,"caring,patient",retired," Hiking ",Watcher
187,Olivia Watson,female,28,"fun-loving,compassionate,curious,adventurous",farmer," Birdwatching ,Gardening ",Watcher;Critic;Chatter
188,Eleanor Smith,female,37,"fun-loving,creative,musical,patient,empathetic",musician," Playing musical instruments ,Singing ",Watcher;Poster
189,Ryan Conley,male,42,"practical,ambitious,optimistic",designer," Woodworking ",Critic
190,Olivia Burks,male,65,"caring,compassionate,adventurous",student," Astronomy ,Fossils ",Watcher;Critic;Chatter;Poster
191,Hannah Kennedy,male,30,"fun-loving,practical,adventurous",teacher," Skydiving ,Rock climbing ",Watcher;Poster
192,Willow Coffey,female,60,"caring,adventurous,curious,empathetic",student," Book club ,Botany ",Explorer
193,Liam Bowen,female,29,"fun-loving,practical,musical,adventurous",farmer," Boating ,Beekeeping ",Watcher;Chatter;Poster
194,Patrick Armstrong,male,53,"fun-loving,adventurous,curious",photographer," Wood carving ,Surfing ",Watcher;Explorer
195,Nora Fitzpatrick,female,44,"adventurous,ambitious,optimistic",designer," Cosplay ,Laser tag ",Poster
196,Andrew Gonzalez,female,42,"creative,ambitious,patient,empathetic",designer," Jewelry making ,Soap making ",Critic;Chatter;Poster
197,Thomas Diaz,female,38,"compassionate,adventurous,curious,patient,empathetic",doctor," Pottery ,Yoga ",Chatter;Poster
198,Andrew Donaldson,female,36,"creative,practical,ambitious,optimistic",student," Robotics ",Critic;Chatter
199,Sophia Brady,male,23,"adventurous,ambitious,optimistic",entrepreneur," Skateboarding ",Watcher
200,Luke Berry,male,47,"fun-loving,practical,patient,optimistic,ambitious",lawyer," Skateboards ,Jewelry ,3D printing",Watcher;Explorer;Poster
201,Gabriel Carroll,female,46,"compassionate,energetic,adventurous",doctor," Pottery ,Communications ",Watcher
202,Blake Bowen,female,30,"creative,empathetic,fun-loving,patient,ambitious",teacher," Home audio,Boating ,Cooking scales ,Action figures ",Watcher;Explorer
203,Kevin Coleman,male,29,"independent,creative,energetic",actor," Fishing tackle ,Skis ,Sports & Outdoors ",Chatter
204,Avery Bowen,male,26,"compassionate,caring",farmer," Legos ",Poster
205,Sophia Richardson,male,63,"independent,creative,empathetic,patient,adventurous",entrepreneur," Attachments ,Car care ,Mobile Phone Accessories ",Watcher;Critic;Poster
206,Timothy Foster,male,30,"fun-loving,practical,creative,energetic",engineer," Art supplies ,Novelty lamps ,Snowboarding",Watcher;Chatter
207,Daniel Donaldson,female,34,"fun-loving,creative,patient",writer," Car care ,Learning & Education ",Chatter
208,Georgia Watson,female,29,"creative,practical,energetic",musician," Shoes ,Handbags & Wallets ,MP3 Players & Accessories ",Watcher;Chatter;Poster
209,Andrew Brock,male,60,"fun-loving,practical",scientist," Team sports ",Watcher;Chatter;Poster
210,Piper Donaldson,female,34,"caring",retired," Accessories ",Critic
211,Jade Buck,female,57,"adventurous,patient,optimistic,ambitious",engineer," Jewelry Boxes & Organizers ,Grills & Outdoor Cooking ,Stationery & Party Supplies ",Explorer
212,Lauren Harris,male,61,"independent,compassionate,creative,energetic,adventurous",doctor," Team sports ",Watcher;Explorer;Critic;Chatter;Poster
213,Zachary Bernard,male,27,"fun-loving,patient,optimistic",actor," Equestrian Sports ,Pet Technology ,Camera & Photo ",Watcher
214,Lucy Bowen,female,46,"compassionate,energetic,adventurous",writer," Instruments ,Outdoor cooking ,Drones & Quadcopters ",Watcher;Explorer;Poster
215,Grace Brady,male,48,"compassionate,caring",doctor," Cutlery & Knife Accessories ,Audio Adapters ",Poster
216,Kevin Blevins,female,34,"independent,compassionate,creative,energetic",writer," Skateboarding ,Athletic ",Watcher;Critic
217,Evan Powell,female,41,"adventurous,optimistic,ambitious",engineer," Electrical ",Watcher;Critic
218,Taylor Carlson,female,43,"compassionate,caring,adventurous,optimistic",writer," Videos ",Watcher;Critic;Chatter;Poster
219,Sophia Lee,female,62,"independent,compassionate,caring",farmer," Handbag & Tote Accessories ,Shoe,Jewelry ",Watcher;Critic;Poster
220,Victoria Clay,female,57,"fun-loving,creative,practical,energetic,patient",entrepreneur," Cooking ,Tea tasting ",Poster
221,Isabella Darling,male,58,"compassionate,caring,ambitious,optimistic",scientist," Jewelry making ,Sailing ,Videogames ",Watcher;Explorer;Chatter
222,Gavin Clarke,female,67,"compassionate,caring,ambitious,optimistic",engineer," Keyboard instruments ,Lego building ",Explorer;Critic
223,Delilah Alexander,male,49,"independent,compassionate",actor," Arts and Crafts ,Music ",Watcher
224,Gabriel Powell,female,48,"independent,compassionate",entrepreneur," Rock climbing ,Painting ",Watcher;Chatter;Poster
225,Piper Farmer,male,65,"fun-loving,creative,practical,energetic,patient",doctor," Fishing ,Hiking ",Watcher;Explorer
226,Andrew Forbes,female,45,"compassionate,caring,ambitious,optimistic",entrepreneur," Reading ,Comic book collecting ",Critic;Poster
227,Brooklyn Cooper,male,23,"fun-loving,creative,practical,energetic,patient",lawyer," Golf ,Writing ",Watcher;Explorer;Critic
228,Jacob Deleon,male,60,"independent,compassionate",writer," Learning a new language ,DIY ",Explorer
229,Bennett Albert,male,54,"independent,compassionate",artist," Collecting ,Sculpture ",Watcher
230,Daniel Carlson,female,31,"fun-loving,creative,practical,energetic,patient",doctor," Cooking ,Movie Memorabilia ",Critic;Poster
231,Julia Brady,male,63,"compassionate,caring,ambitious,optimistic",nurse," Gardening ,Yoga ",Watcher;Explorer;Chatter;Poster
232,Ruby English,male,32,"independent,compassionate",farmer," Video gaming ,Baking bread ",Watcher;Explorer
233,Taylor Deleon,male,42,"independent,compassionate",doctor," Robotics ,Coin collecting ",Poster
